	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
235057	tt10260692	movie	Faith Based	Faith Based	0	2020	\N	\N	Comedy
235085	tt10261766	movie	East & West	East & West	0	2020	\N	\N	Drama,Family
235098	tt10261964	movie	Jekyll vs. Hyde	Jekyll vs. Hyde	0	2020	\N	\N	Horror
235115	tt10262390	movie	Way to Paris	Way to Paris	0	2020	\N	\N	Biography,Drama,Mystery
235127	tt10262712	movie	The Pack	Smecka	0	2020	\N	94	\N
235128	tt10262784	movie	Heaven Stood Still: The Life and Times of Willy DeVille	Heaven Stood Still: The Life and Times of Willy DeVille	0	2020	\N	\N	Documentary
235161	tt10264308	movie	Sisterhood	Sisterhood	0	2020	\N	75	Documentary
235162	tt10264340	movie	Light from the Tower	Light from the Tower	0	2020	\N	77	Comedy,Drama,Horror
235171	tt10264878	movie	A Stormy Night	A Stormy Night	0	2020	\N	\N	Drama
235196	tt10265766	movie	Sex Spirits	Sex Spirits	0	2020	\N	\N	Adventure,Comedy,Drama
235237	tt10267706	movie	The Great Man	The Great Man	0	2020	\N	\N	Drama
235251	tt10268550	movie	Minyan	Minyan	0	2020	\N	118	Drama
235257	tt10268752	movie	Big Feat	Big Feat	0	2020	\N	\N	Comedy,Drama
235262	tt10268922	movie	Si muore solo da vivi	Si muore solo da vivi	0	2020	\N	\N	Comedy
235304	tt10270250	movie	Dusty to Meet Rusty	Dusty to Meet Rusty	0	2020	\N	\N	Adventure,Drama
235346	tt10271696	movie	This Is Why We Fight	This Is Why We Fight	0	2020	\N	\N	Drama
235363	tt10272386	movie	The Father	The Father	0	2020	\N	97	Drama
235365	tt10272402	movie	Project Kahuta	Project Kahuta	0	2020	\N	82	Biography,History,Thriller
235415	tt10275080	movie	Agent Jade Black	Agent Jade Black	0	2020	\N	101	Action
235444	tt10275546	movie	Aelay	Aelay	0	2020	\N	\N	Comedy
235541	tt10278414	movie	Holding It In	Holding It In	0	2020	\N	59	Documentary
235543	tt10278448	movie	The Island of Forgiveness	The Island of Forgiveness	0	2020	\N	90	Drama
235595	tt10279988	movie	Pennsylvania	Pennsylvania	0	2020	\N	\N	Sci-Fi
235602	tt10280276	movie	Coolie No. 1	Coolie No. 1	0	2020	\N	\N	Comedy
